"clock","k_datasets","total_n","age_r","age_r_lo","age_r_hi","age_slope","age_slope_lo","age_slope_hi","sex_coef","sex_coef_lo","sex_coef_hi","sex_frac_sig","age_x_sex","age_x_sex_lo","age_x_sex_hi","age_x_sex_frac_sig"
"Metabolic",136,36059,0.425,-0.117,0.772,0.563,0.0025,1.1235,-0.1923,-6.2132,5.8286,0.3,-0.09328,-0.31414,0.12759,0.23
"MusculoSkeletal",136,36059,0.408,-0.111,0.752,0.5452,-0.0175,1.1079,-2.8855,-11.2853,5.5144,0.44,-0.05652,-0.26686,0.15382,0.17
"PCADM",136,35213,0.818,0.361,0.958,1.4991,1.1595,1.8387,19.2646,14.4956,24.0335,0.99,-0.0732,-0.26668,0.12029,0.25
"PCB2M",136,35221,0.956,0.762,0.992,12475.7702,9966.7676,14984.7727,-2975.5509,-19818.1535,13867.0518,0.31,-330.39169,-1165.36916,504.58578,0.27
"PCCystatinC",136,35213,0.958,0.763,0.993,3234.4259,2765.4964,3703.3554,-4201.4785,-9006.7804,603.8235,0.67,-55.84675,-256.72612,145.03263,0.24
"PCDNAmTL",136,36059,-0.697,-0.927,-0.086,-0.0137,-0.0232,-0.0041,0.0612,-0.0289,0.1513,0.6,0.00095,-0.00266,0.00456,0.19
"PCGDF15",136,35221,0.954,0.732,0.993,11.9577,11.0814,12.8339,-6.4783,-21.9736,9.017,0.31,-0.27079,-1.0078,0.46623,0.23
"PCGrimAge",136,35213,0.93,0.703,0.985,0.7779,0.6695,0.8862,-2.1952,-3.6984,-0.692,0.8,-0.02129,-0.0968,0.05421,0.23
"PCHannum",136,36059,0.84,0.335,0.97,0.6769,0.2946,1.0593,-1.5895,-3.8151,0.6361,0.56,-0.01228,-0.10856,0.084,0.17
"PCHorvath1",136,36059,0.825,0.242,0.97,0.6361,0.2556,1.0166,-1.3584,-3.0845,0.3676,0.45,-0.00438,-0.10577,0.09702,0.19
"PCHorvath2",136,36059,0.781,0.173,0.958,0.5938,0.2045,0.9831,-0.8412,-2.9672,1.2848,0.3,-0.02066,-0.1492,0.10789,0.2
"PCLeptin",136,35213,0.099,-0.187,0.369,16.1962,-0.8328,33.2252,5900.9583,5694.7421,6107.1744,1,-1.67122,-13.25644,9.91401,0.12
"PCPACKYRS",136,35213,0.381,0.03,0.648,0.2489,0.1035,0.3943,-2.5329,-6.0074,0.9415,0.56,-0.00757,-0.1899,0.17475,0.17
"PCPAI1",136,35827,0.407,-0.137,0.763,50.7962,-2.2196,103.812,-1361.7934,-2028.5789,-695.008,0.92,-13.76734,-42.38698,14.85229,0.22
"PCPhenoAge",136,36059,0.812,0.304,0.96,0.7806,0.3338,1.2275,-0.6815,-3.5003,2.1373,0.29,-0.04551,-0.15943,0.06841,0.25
"PCTIMP1",136,35213,0.977,0.863,0.996,140.3297,125.1561,155.5033,-221.7381,-400.8237,-42.6525,0.77,-2.86267,-8.7706,3.04526,0.25
"PhenoAge",136,36059,0.781,0.205,0.955,0.8091,0.3067,1.3115,-0.5609,-3.7679,2.6461,0.3,-0.05568,-0.18419,0.07284,0.26
"RepliTali",135,35836,0.174,-0.14,0.456,0.0366,-0.0024,0.0756,0.0201,-0.5626,0.6029,0.18,0.00723,-0.0211,0.03556,0.15
"RepliTaliNorm",135,35836,0.187,-0.199,0.523,0.0212,-0.0035,0.0458,0.0064,-0.2322,0.2451,0.21,0.00417,-0.00952,0.01786,0.16
"RetroAge450K",135,35836,0.756,0.245,0.938,0.7075,0.2509,1.1641,-0.6847,-3.062,1.6926,0.21,-0.00383,-0.10854,0.10088,0.18
"RetroAgeEPICv2",135,35836,0.878,0.403,0.98,0.5566,0.199,0.9143,-0.009,-0.8092,0.7911,0.24,0.00286,-0.0425,0.04822,0.25
"StocH",136,36059,0.628,-0.002,0.901,0.4731,0.1072,0.839,0.0111,-1.7487,1.7708,0.25,0.00099,-0.11431,0.11628,0.18
"StocP",136,36059,0.864,0.354,0.978,1.107,0.5675,1.6464,0.3583,-2.8552,3.5718,0.28,0.00856,-0.15233,0.16946,0.18
"StocZ",136,36059,0.62,-0.011,0.898,0.39,0.076,0.7041,-0.2467,-1.4776,0.9842,0.17,-0.00859,-0.10316,0.08599,0.13
"SystemsAge",136,36059,0.433,-0.085,0.767,0.5656,0.0549,1.0763,1.9188,-3.2757,7.1132,0.44,-0.1057,-0.39217,0.18077,0.22
"Zhang2019",115,36059,0.92,0.456,0.991,1.1488,0.745,1.5527,-0.4058,-2.7494,1.9377,0.29,-0.01504,-0.13641,0.10633,0.21
